plate,date,liters,price,amount,odometer
80-6288,28/12/68,70,30.95,2166.5,54945
80-5298,29/12/68,130,30.95,4023.5,151395
80-6158,30/12/68,117,30.95,3621.15,54283
80-5664,,70,30.95,2166.5,19058
80-6288,5/1/69,60,30.95,1857,55114
80-6158,6/1/69,127,30.95,3930.65,54498
80-5664,7/1/69,70,30.95,2166.5,19219
80-6288,8/1/69,70,30.95,2166.5,
80-6158,9/1/69,130,30.45,3958.5,54803
80-6288,10/1/69,70,30.45,2131.5,55529
80-5664,,70,30.45,2131.5,19419
80-5298,11/1/69,120,30.45,3654,151644
80-6288,13/1/69,70,30.45,2131.5,55722
80-6158,14/1/69,130,30.45,3958.5,55154
80-5664,,70,30.45,2131.5,
80-5298,15/1/69,120,30.45,3654,
80-6288,,60,30.45,1827,
80-5664,16/1/69,70,30.45,2131.5,19783
80-6288,17/1/69,60,30.45,1827,56081
80-5664,19/1/69,70,30.45,2131.5,19919
80-6288,20/1/69,70,30.45,2131.50,
80-5298,22/1/69,120,30.45,3654.00,
80-6288,23/1/69,70,30.45,2131.50,
80-5664,,70,30.45,2131.50,20121
80-6288,27/1/69,70,30.45,2131.50,56652
80-5664,28/1/69,60,30.45,1827.00,20310
80-6288,30/1/69,70,30.45,2131.50,56822
80-6158,31/1/69,130,30.45,3958.50,55451
80-5298,,130,30.45,3958.50,152353
80-5664,,60,30.45,1827.00,20479
80-6288,30/1/69,70,30.45,2131.50,56822
80-6158,31/1/69,130,30.45,3958.50,55451
80-5298,,130,30.45,3958.50,152353
80-5664,,60,30.45,1827.00,20479
80-6288,01/02/69,70,30.45,2131.5,57026
80-5298,03/02/69,130,30.45,3958.5,152647
80-5664,04/02/69,70,30.45,2131.5,20626
80-5664,07/02/69,70,30.45,2131.5,20738
80-6158,,110,30.45,3349.5,55653
80-5664,10/02/69,60,30.45,1827,20843
80-6288,,70,30.45,2131.5,57224
80-5298,,130,30.45,3958.5,152932
80-6158,,100,30.45,3045,55970
80-5664,12/02/69,60,30.45,1827,21001
80-6288,,70,30.45,2131.5,
80-6158,14/02/69,124,30.45,3775.8,56264
80-5298,,120,30.45,3654,153237
80-5664,20/02/69,70,30.45,2131.5,
80-6288,,70,30.45,2131.5,
80-5298,,120,30.45,3654,153470
80-6158,23/02/69,117.61,30.45,3581.22,56529
80-6288,,70,30.45,2131.50,57755
80-5664,,70,30.45,2131.50,
80-5298,,120,30.45,3654.00,153692
80-6288,25/02/69,70,30.45,2131.50,57920
80-6158,26/02/69,120,30.45,3654.00,56954
80-5664,26/02/69,70,30.45,2131.50,21548
80-6288,28/02/69,70,30.45,2131.50,58110
80-5298,28/02/69,120,30.45,3654.00,153972
80-6158,26/02/69,120,30.45,3654.00,56954
80-5664,26/02/69,70,30.45,2131.50,21548
80-6288,28/02/69,70,30.45,2131.50,58110
80-5298,28/02/69,120,30.45,3654.00,153972
80-5664,01/03/69,70,30.45,2131.50,21735
80-5298,04/03/69,74.548,30.45,2269.99,154084
80-6158,,108.703,30.45,3310.01,57130
80-6288,,46.962,30.45,1429.99,58242
80-5664,,78.818,30.45,2400.0081,21903
80-6288,09/03/69,70,30.45,2131.5,
80-5664,10/03/69,70,30.45,2131.5,22046
80-5298,,100,30.45,3045,154369
80-6158,11/03/69,130,30.45,3958.5,57436
80-5664,13/03/69,70,30.45,2131.5,22216
80-6288,,70,30.45,2131.5,58607
80-5298,,100,30.45,3045,154574
80-6158,16/03/69,100,30.45,3045,57755
80-5664,,70,30.45,2131.5,22371
80-5298,18/03/69,140,30.95,4333,154805
80-6288,,63,30.95,1949.85,58791
